Household_ID,members ,Daily_Water_Consumption_Liters,Temperature_C,Humidity_percent,water source  type,drinking_water_ use _Liters ,Appliance_Usage_Water_Liters,Day_type
1,2,420,26.4,55,Municipal,12,65,weekday
2,3,510,27.1,60,Borewell,15,70,Weekday
3,4,630,28.9,58,Municipal,18,75,Weekend
4,5,720,30.2,62,Tanker,20,80,Weekday
5,3,460,25.8,50,Borewell,14,60,Weekday
6,6,810,32.5,65,Municipal,22,85,Weekend
7,4,590,29.1,57,Borewell,17,70,Weekday
8,5,680,31.4,63,Tanker,19,75,Weekend
9,3,480,27.8,56,Municipal,13,65,Weekday
10,2,350,24.6,48,Borewell,10,80,Weekend
11,4,560,26.9,59,Municipal,16,70,Weekday
12,3,490,28.1,55,Tanker,14,75,Weekday
13,5,650,29.7,61,Borewell,18,60,Weekend
14,6,820,33.4,67,Municipal,21,85,Weekday
15,4,600,30.8,60,Tanker,17,70,Weekend
16,3,470,26.1,53,Municipal,12,75,Weekday
17,2,360,23.9,47,Borewell,9,65,Weekday
18,5,700,29.4,62,Municipal,19,80,Weekend
19,4,580,28.7,58,Tanker,16,70,Weekday
20,3,520,27.3,57,Borewell,15,75,Weekend
21,6,840,34.1,70,Municipal,22,60,Weekday
22,2,380,24.9,49,Tanker,11,85,Weekend
23,3,450,26.5,54,Borewell,13,70,Weekday
24,4,560,28.6,59,Municipal,17,75,Weekend
25,5,690,30.9,64,Tanker,20,65,Weekday
26,3,500,27.4,56,Municipal,14,80,Weekend
27,4,570,29.2,60,Borewell,18,70,Weekday
28,2,340,23.8,48,Municipal,10,75,Weekend
29,3,460,25.6,52,Tanker,12,60,Weekday
30,5,710,31.7,66,Borewell,21,85,Weekend
31,4,590,29.3,58,Municipal,17,70,Weekday
32,6,830,33.9,72,Tanker,23,75,Weekend
33,3,480,27,55,Borewell,14,65,Weekday
34,2,370,24.1,50,Municipal,11,80,Weekend
35,5,720,30.5,63,Tanker,19,70,Weekday
36,4,610,29,59,Municipal,16,75,Weekend
37,3,500,27.6,57,Borewell,13,60,Weekday
38,6,850,34.4,70,Municipal,22,85,Weekend
39,2,390,25.2,51,Tanker,12,70,Weekday
40,4,550,28.3,58,Borewell,15,75,Weekend
41,3,480,26.7,54,Municipal,14,65,Weekday
42,5,660,30.1,65,Tanker,20,80,Weekend
43,4,590,29.4,61,Municipal,17,70,Weekday
44,3,520,27.2,56,Borewell,15,75,Weekend
45,6,810,33.1,69,Tanker,21,60,Weekday
46,2,360,24.3,48,Municipal,10,85,Weekend
47,3,470,26.8,53,Borewell,13,70,Weekday
48,4,580,28.9,60,Municipal,18,75,Weekend
49,5,700,30.4,64,Tanker,20,65,Weekday
50,3,520,27.5,57,Municipal,16,80,Weekend
51,4,600,29.8,62,Borewell,18,70,Weekday
52,6,820,33.5,71,Municipal,22,75,Weekend
53,2,380,25.1,50,Tanker,11,60,Weekday
54,3,510,27.9,55,Borewell,15,85,Weekend
55,5,690,30.7,66,Municipal,20,70,Weekday
56,4,580,29,59,Tanker,17,75,Weekend
57,3,430,26,53,Municipal,13,65,Weekday
58,2,360,24.7,47,Borewell,10,80,Weekend
59,6,840,34.3,73,Municipal,23,70,Weekday
60,4,620,30.2,62,Tanker,19,75,Weekend
61,3,500,27.1,56,Borewell,14,60,Weekday
62,5,710,31.4,68,Municipal,20,85,Weekend
63,2,350,23.9,49,Tanker,10,70,Weekday
64,3,480,26.6,54,Municipal,13,75,Weekend
65,4,600,29.3,60,Borewell,18,65,Weekday
66,6,820,33.2,72,Tanker,22,80,Weekend
67,5,700,30.9,64,Municipal,20,70,Weekend
68,3,520,27.4,57,Borewell,16,75,Weekday
69,4,590,28.8,61,Municipal,18,60,Weekend
70,2,370,24.2,50,Tanker,12,85,Weekday
71,3,490,26.9,55,Municipal,14,70,Weekday
72,5,750,32.1,70,Borewell,21,75,Weekend
73,4,620,30,63,Tanker,18,65,Weekday
74,6,840,34,74,Municipal,24,80,Weekend
75,2,360,24.5,48,Borewell,11,70,Weekday
76,3,500,27.3,57,Municipal,15,75,Weekday
77,4,580,29.2,60,Tanker,17,60,Weekend
78,5,690,30.8,66,Municipal,21,85,Weekday
79,3,520,27.6,58,Borewell,16,70,Weekend
80,2,350,23.7,47,Tanker,10,75,Weekday
81,4,610,31.2,65,Municipal,19,65,Weekend
82,6,820,33.6,73,Borewell,23,80,Weekday
83,5,700,30.4,67,Municipal,20,70,Weekend
84,3,540,28.7,60,Tanker,17,75,Weekday
85,2,360,24.4,49,Municipal,12,60,Weekend
86,4,620,31.5,63,Borewell,18,85,Weekday
87,3,510,27.9,55,Tanker,14,70,Weekend
88,5,720,32.4,70,Municipal,21,75,Weekday
89,6,850,34.7,75,Borewell,25,65,Weekend
90,4,600,30.6,66,Tanker,19,80,Weekend
91,3,520,27.2,58,Municipal,16,70,Weekday
92,2,390,25.3,52,Borewell,12,75,Weekend
93,5,710,31.9,69,Municipal,21,60,Weekday
94,4,580,29.1,61,Tanker,18,85,Weekday
95,3,500,27,55,Municipal,14,70,Weekend
96,6,860,34.8,74,Borewell,24,75,Weekday
97,2,380,24.8,50,Tanker,11,65,Weekend
98,4,560,28.5,60,Municipal,16,80,Weekday
99,3,490,26.4,53,Borewell,13,70,Weekend
100,5,700,30.3,68,Borewell,20,75,Weekday
